source_id,type_of_water_source,number_of_people_served,priority_rank
AkRu05446224,river,482,2904
SoRu37551224,river,480,2918
SoRu39610224,river,480,2918
SoRu39100224,river,480,2918
SoRu39471224,river,480,2918
SoRu37721224,river,480,2918
SoRu39452224,river,480,2918
SoRu35456224,river,480,2918
SoRu36028224,river,480,2918
SoRu35574224,river,480,2918
KiMr25012224,river,480,2918
KiRu25602224,river,480,2918
KiMr24440224,river,480,2918
SoMa34250224,river,480,2918
KiRu28440224,river,480,2918
KiRu27741224,river,480,2918
KiRu26187224,river,480,2918
KiHa23231224,river,478,2934
KiIs23910224,river,478,2934
HaRu20825224,river,478,2934
SoMa34470224,river,478,2934
KiRu25984224,river,478,2934
KiZu30959224,river,478,2934
KiRu25290224,river,478,2934
AkRu07303224,river,478,2934
AkRu06175224,river,478,2934
AmBe11313224,river,478,2934
AkRu08921224,river,478,2934
SoRu35468224,river,478,2934
SoRu35549224,river,478,2934
SoRu36605224,river,478,2934
SoRu36920224,river,476,2948
SoRu39493224,river,476,2948
SoRu36861224,river,476,2948
SoRu36629224,river,476,2948
KiRu27319224,river,476,2948
KiZu31110224,river,476,2948
SoMa34006224,river,476,2948
KiAm22388224,river,476,2948
KiRu29951224,river,476,2948
SoBa31669224,river,476,2948
AkRu07036224,river,476,2948
AmRu15675224,river,476,2948
AmAs10570224,river,476,2948
AmAm09684224,river,474,2961
SoRu36898224,river,474,2961
KiIs23989224,river,474,2961
KiZu31126224,river,474,2961
KiRu29022224,river,474,2961
HaRu18876224,river,474,2961
KiRu30637224,river,472,2967
KiRu25772224,river,472,2967
KiRu26558224,river,472,2967
SoMa33982224,river,472,2967
SoKo33233224,river,472,2967
SoIl32665224,river,472,2967
SoRu37610224,river,472,2967
SoRu37461224,river,472,2967
SoRu37892224,river,472,2967
SoRu35021224,river,470,2976
SoRu39005224,river,470,2976
AmAm09480224,river,470,2976
HaDe16392224,river,470,2976
AkRu08376224,river,470,2976
HaRu18539224,river,470,2976
AmRu15867224,river,470,2976
KiRu25663224,river,470,2976
KiRu30234224,river,470,2976
KiRu26833224,river,470,2976
SoMa33801224,river,468,2986
SoMa33803224,river,468,2986
KiRu27575224,river,468,2986
KiRu25917224,river,468,2986
SoIl32602224,river,468,2986
KiZu31428224,river,468,2986
SoBa31695224,river,468,2986
SoRu35369224,river,468,2986
SoRu36918224,river,468,2986
SoRu39303224,river,468,2986
SoRu36484224,river,468,2986
SoRu37299224,river,468,2986
AmBe11215224,river,468,2986
HaRu17638224,river,466,2999
AmAm09617224,river,466,2999
AmDa11520224,river,466,2999
SoMa33656224,river,466,2999
SoMa33871224,river,466,2999
SoMa34280224,river,466,2999
SoRu35451224,river,466,2999
SoRu34781224,river,466,2999
SoRu34818224,river,466,2999
SoRu35167224,river,464,3008
SoRu39490224,river,464,3008
SoRu35509224,river,464,3008
SoRu38183224,river,464,3008
AmAm09724224,river,464,3008
AmRu15439224,river,464,3008
SoIl32303224,river,464,3008
KiRu28829224,river,464,3008
KiMr24471224,river,464,3008
KiRu30336224,river,462,3017
KiRu29169224,river,462,3017
KiRu27760224,river,462,3017
HaSe21339224,river,462,3017
KiMr24530224,river,462,3017
KiRu25374224,river,462,3017
SoBa31714224,river,462,3017
SoIl32511224,river,462,3017
SoRu36173224,river,462,3017
AmPw12375224,river,462,3017
AkRu07850224,river,460,3027
HaRu18933224,river,460,3027
KiRu29738224,river,460,3027
KiZu31238224,river,460,3027
KiRu27817224,river,460,3027
SoMa34297224,river,460,3027
SoRu38112224,river,460,3027
SoRu36945224,river,460,3027
SoRu34708224,river,460,3027
SoRu36113224,river,460,3027
SoRu35831224,river,460,3027
SoRu36873224,river,460,3027
SoRu39592224,river,458,3039
SoRu39510224,river,458,3039
SoRu36337224,river,458,3039
SoRu37706224,river,458,3039
SoRu35799224,river,458,3039
SoRu35995224,river,458,3039
SoRu37433224,river,458,3039
SoRu34827224,river,458,3039
HaRu18109224,river,458,3039
SoKo33363224,river,458,3039
KiRu29546224,river,458,3039
KiIs23776224,river,456,3050
KiRu30616224,river,456,3050
SoRu38879224,river,456,3050
SoRu36323224,river,456,3050
SoRu37587224,river,456,3050
SoRu39520224,river,456,3050
SoRu34936224,river,456,3050
SoRu35842224,river,456,3050
AkRu03277224,river,456,3050
AkRu07415224,river,456,3050
HaDe16621224,river,456,3050
HaRu18469224,river,456,3050
AkRu05748224,river,454,3062
SoMa34392224,river,454,3062
SoIl33034224,river,454,3062
HaRu19029224,river,454,3062
KiZu30727224,river,454,3062
SoKo33171224,river,454,3062
SoRu36064224,river,454,3062
SoRu37630224,river,454,3062
SoRu38541224,river,454,3062
SoRu35642224,river,454,3062
SoRu38811224,river,452,3072
SoRu35570224,river,452,3072
SoRu35431224,river,452,3072
SoRu38378224,river,452,3072
AmRu13000224,river,452,3072
AmAm09540224,river,452,3072
SoCh32156224,river,452,3072
SoMa33900224,river,452,3072
KiAm22199224,river,452,3072
SoBa31893224,river,452,3072
KiMr25025224,river,452,3072
HaRu18861224,river,450,3083
SoBa31581224,river,450,3083
KiMr24686224,river,450,3083
KiHa23162224,river,450,3083
KiHa23304224,river,450,3083
SoRu39163224,river,450,3083
SoRu35750224,river,450,3083
SoRu38437224,river,450,3083
AmAs10086224,river,450,3083
HaRu18254224,river,450,3083
AkRu07054224,river,448,3093
AkRu06530224,river,448,3093
AkRu08928224,river,448,3093
AkRu06027224,river,448,3093
HaSe20980224,river,448,3093
KiRu27682224,river,448,3093
KiHa22918224,river,448,3093
SoRu37520224,river,448,3093
SoRu37160224,river,448,3093
SoRu36783224,river,448,3093
SoRu35765224,river,448,3093
SoRu38732224,river,446,3104
SoRu36037224,river,446,3104
SoRu35538224,river,446,3104
AkRu05697224,river,446,3104
SoIl32671224,river,446,3104
KiRu26032224,river,446,3104
KiRu27400224,river,446,3104
SoKo33388224,river,446,3104
SoCh32128224,river,444,3112
SoRu38072224,river,444,3112
AkRu05523224,river,444,3112
AkRu08439224,river,444,3112
AkHa00248224,river,442,3116
AkRu03140224,river,442,3116
KiRu29947224,river,442,3116
KiIs24139224,river,442,3116
KiZu31030224,river,442,3116
SoCh31997224,river,442,3116
SoMa33824224,river,442,3116
KiRu27528224,river,442,3116
SoRu35625224,river,442,3116
SoRu37211224,river,442,3116
SoRu39064224,river,440,3126
SoRu37934224,river,440,3126
SoRu39294224,river,440,3126
SoRu39247224,river,440,3126
SoRu35261224,river,440,3126
SoRu38448224,river,440,3126
SoRu35036224,river,440,3126
SoRu35975224,river,440,3126
SoRu35718224,river,440,3126
HaAm16208224,river,440,3126
AkRu05001224,river,440,3126
KiRu27364224,river,440,3126
KiMr25046224,river,440,3126
KiRu27488224,river,440,3126
KiHa23079224,river,440,3126
SoKo33411224,river,440,3126
SoKo33056224,river,438,3142
SoMa33599224,river,438,3142
SoCh32083224,river,438,3142
SoMa34486224,river,438,3142
KiRu29045224,river,438,3142
SoRu36402224,river,438,3142
SoRu37823224,river,438,3142
SoRu39154224,river,438,3142
SoRu35099224,river,438,3142
SoRu39274224,river,438,3142
SoRu37236224,river,438,3142
AkLu02395224,river,438,3142
AmAs10678224,river,438,3142
AkRu05449224,river,438,3142
AmDa11666224,river,438,3142
AmRu15125224,river,438,3142
AkRu06422224,river,438,3142
AmBe11006224,river,438,3142
AmRu13094224,river,436,3160
AmAm09399224,river,436,3160
AkRu07058224,river,436,3160
AkRu07903224,river,436,3160
KiMr24591224,river,436,3160
KiZu30917224,river,436,3160
KiRu26892224,river,436,3160
SoBa31698224,river,436,3160
SoRu39086224,river,436,3160
SoRu38395224,river,436,3160
SoRu37496224,river,436,3160
SoRu39479224,river,436,3160
SoRu36001224,river,436,3160
SoRu39187224,river,436,3160
SoRu36125224,river,436,3160
SoRu36141224,river,436,3160
SoRu37595224,river,434,3176
SoRu37801224,river,434,3176
SoRu37879224,river,434,3176
HaRu17940224,river,434,3176
AkRu03452224,river,434,3176
AmRu13958224,river,434,3176
AmAm09667224,river,434,3176
KiZu31199224,river,434,3176
KiZu31204224,river,434,3176
KiRu28865224,river,434,3176
KiRu25310224,river,434,3176
KiIs23753224,river,434,3176
KiRu29242224,river,434,3176
KiZu30835224,river,432,3189
KiHa23342224,river,432,3189
SoCh32062224,river,432,3189
KiMr24953224,river,432,3189
HaRu19202224,river,432,3189
SoIl32478224,river,432,3189
SoMa34044224,river,432,3189
SoMa34445224,river,432,3189
SoRu35134224,river,432,3189
SoRu38944224,river,432,3189
SoRu35798224,river,432,3189
AmRu13327224,river,432,3189
AmDa11368224,river,432,3189
AkRu06217224,river,430,3202
AkRu04117224,river,430,3202
AmRu15884224,river,430,3202
AkRu03129224,river,430,3202
AkRu06785224,river,430,3202
AkRu06782224,river,430,3202
KiRu28926224,river,430,3202
SoRu39115224,river,430,3202
SoRu37602224,river,430,3202
SoRu37599224,river,430,3202
SoRu34775224,river,428,3212
SoRu35430224,river,428,3212
SoRu37758224,river,428,3212
SoRu34687224,river,428,3212
AmRu14863224,river,428,3212
AkRu08643224,river,428,3212
KiRu29156224,river,428,3212
HaRu19872224,river,428,3212
SoBa31745224,river,428,3212
KiRu28967224,river,428,3212
KiRu26377224,river,428,3212
KiRu28242224,river,428,3212
KiRu27361224,river,426,3224
SoIl32446224,river,426,3224
SoRu37031224,river,426,3224
SoRu37736224,river,426,3224
AmAm09534224,river,426,3224
AmRu15869224,river,426,3224
AkRu05184224,river,424,3230
AmPw12640224,river,424,3230
KiHa22913224,river,424,3230
SoRu38857224,river,424,3230
SoRu38995224,river,424,3230
SoRu38868224,river,424,3230
SoRu36872224,river,424,3230
SoRu38571224,river,424,3230
SoRu39556224,river,422,3238
SoRu37614224,river,422,3238
SoRu35380224,river,422,3238
SoRu39383224,river,422,3238
SoRu36420224,river,422,3238
AkRu04573224,river,422,3238
AkRu05792224,river,422,3238
AmAs10417224,river,422,3238
SoKo33120224,river,422,3238
SoKo33524224,river,420,3247
KiZu31168224,river,420,3247
SoRu34782224,river,420,3247
SoRu39589224,river,420,3247
SoRu35577224,river,420,3247
AkRu02993224,river,420,3247
AkRu08833224,river,420,3247
HaAm15991224,river,418,3254
AkRu03548224,river,418,3254
KiZu31421224,river,418,3254
SoIl32336224,river,418,3254
SoMa34599224,river,418,3254
KiRu25822224,river,418,3254
SoMa34352224,river,418,3254
HaRu19205224,river,418,3254
SoRu39030224,river,418,3254
SoRu37983224,river,418,3254
SoRu36979224,river,418,3254
SoRu38118224,river,418,3254
SoRu35077224,river,418,3254
SoRu38836224,river,416,3267
SoRu37407224,river,416,3267
SoRu37134224,river,416,3267
SoRu37714224,river,416,3267
AmAb09106224,river,416,3267
AmRu13137224,river,416,3267
SoBa31753224,river,416,3267
KiHa23022224,river,416,3267
KiRu28849224,river,416,3267
HaRu18549224,river,416,3267
KiRu27002224,river,416,3267
KiRu27577224,river,414,3278
SoBa31549224,river,414,3278
KiRu25728224,river,414,3278
KiRu25323224,river,414,3278
KiRu29578224,river,414,3278
KiRu27057224,river,414,3278
KiRu26693224,river,414,3278
SoRu37041224,river,414,3278
SoRu36157224,river,414,3278
SoRu39304224,river,414,3278
SoRu38764224,river,414,3278
SoRu39192224,river,414,3278
HaRu17862224,river,414,3278
AkRu05930224,river,414,3278
AkRu07614224,river,412,3292
KiHa23147224,river,412,3292
SoIl32355224,river,412,3292
SoBa31874224,river,412,3292
KiRu29660224,river,412,3292
SoBa31772224,river,412,3292
SoMa33752224,river,412,3292
SoRu36540224,river,412,3292
SoRu35883224,river,412,3292
SoRu35170224,river,412,3292
SoRu34730224,river,412,3292
SoRu37780224,river,410,3303
SoRu38660224,river,410,3303
SoRu35026224,river,410,3303
SoRu35248224,river,410,3303
SoRu35092224,river,410,3303
SoRu37765224,river,410,3303
AkRu07909224,river,410,3303
AmAs10879224,river,410,3303
AmAs10485224,river,410,3303
KiMr24466224,river,410,3303
SoMa34477224,river,410,3303
SoMa33821224,river,408,3314
KiZu30821224,river,408,3314
KiRu26725224,river,408,3314
KiZu30908224,river,408,3314
KiHa23337224,river,408,3314
KiRu30429224,river,408,3314
SoRu35046224,river,408,3314
SoRu37969224,river,406,3321
SoRu37465224,river,406,3321
SoRu38193224,river,406,3321
SoRu36277224,river,406,3321
SoRu36612224,river,406,3321
SoRu38898224,river,406,3321
KiHa22988224,river,406,3321
KiZu30871224,river,406,3321
KiZu30874224,river,406,3321
SoBa31551224,river,406,3321
SoMa33724224,river,406,3321
AmDa11814224,river,406,3321
AkRu06038224,river,406,3321
AkHa00527224,river,406,3321
AkRu05536224,river,404,3335
SoRu34764224,river,404,3335
SoRu34944224,river,404,3335
SoRu38482224,river,404,3335
SoRu37294224,river,404,3335
KiRu26987224,river,404,3335
KiRu27249224,river,404,3335
KiRu29975224,river,404,3335
KiRu30113224,river,404,3335
KiRu30356224,river,404,3335
SoBa31550224,river,404,3335
SoMa34500224,river,404,3335
KiRu28466224,river,404,3335
SoIl32326224,river,402,3348
KiRu30631224,river,402,3348
KiIs24082224,river,402,3348
SoIl32582224,river,402,3348
KiRu27306224,river,402,3348
KiRu29598224,river,402,3348
KiIs23538224,river,402,3348
KiIs23568224,river,402,3348
KiMr24831224,river,402,3348
HaAm15940224,river,402,3348
AmAm09712224,river,402,3348
SoRu34900224,river,402,3348
SoRu37206224,river,402,3348
SoRu35540224,river,402,3348
SoRu34889224,river,402,3348
SoRu35362224,river,402,3348
SoRu39436224,river,400,3364
SoRu37633224,river,400,3364
SoRu38759224,river,400,3364
SoRu38345224,river,400,3364
SoRu38500224,river,400,3364
SoRu34808224,river,400,3364
SoRu37948224,river,400,3364
KiHa23390224,river,400,3364
KiMr24417224,river,400,3364
SoMa33948224,river,400,3364
KiRu27420224,river,400,3364
SoMa33669224,river,400,3364
SoKo33424224,river,400,3364
HaDj16848224,river,400,3364
AmRu14978224,river,400,3364
AkKi01493224,river,400,3364
AkRu05603224,shared_tap,3998,1
HaRu19509224,shared_tap,3998,1
KiHa22867224,shared_tap,3996,3
AmAs10911224,shared_tap,3996,3
AkRu04862224,shared_tap,3996,3
KiZu31330224,shared_tap,3994,6
HaRu19839224,shared_tap,3994,6
KiRu28630224,shared_tap,3992,8
KiZu31415224,shared_tap,3992,8
KiRu26218224,shared_tap,3990,10
SoRu38511224,shared_tap,3990,10
AmPw12653224,shared_tap,3990,10
HaRu18763224,shared_tap,3988,13
SoRu36081224,shared_tap,3988,13
SoRu35346224,shared_tap,3988,13
SoRu36687224,shared_tap,3988,13
AmAm09725224,shared_tap,3986,17
KiRu29517224,shared_tap,3986,17
SoRu35398224,shared_tap,3984,19
SoRu38869224,shared_tap,3984,19
AmBe11275224,shared_tap,3984,19
HaRu18154224,shared_tap,3984,19
AkRu05842224,shared_tap,3984,19
AkRu06647224,shared_tap,3982,24
HaRu20823224,shared_tap,3982,24
KiMr24719224,shared_tap,3982,24
KiRu28844224,shared_tap,3982,24
SoRu37216224,shared_tap,3982,24
SoRu35229224,shared_tap,3982,24
SoRu35598224,shared_tap,3980,30
SoRu38339224,shared_tap,3980,30
AkRu06374224,shared_tap,3980,30
AmRu13722224,shared_tap,3980,30
KiRu25344224,shared_tap,3980,30
KiZu31086224,shared_tap,3978,35
KiRu25702224,shared_tap,3978,35
SoRu37693224,shared_tap,3978,35
HaRu18222224,shared_tap,3978,35
AkRu07796224,shared_tap,3978,35
AmAb09339224,shared_tap,3978,35
SoRu39073224,shared_tap,3976,41
SoRu35204224,shared_tap,3976,41
SoRu36782224,shared_tap,3974,43
AkRu03444224,shared_tap,3974,43
AkRu04657224,shared_tap,3972,45
HaRu18399224,shared_tap,3970,46
AmRu15466224,shared_tap,3970,46
AkRu03117224,shared_tap,3970,46
AkRu04357224,shared_tap,3970,46
KiRu29158224,shared_tap,3970,46
KiRu28759224,shared_tap,3970,46
KiRu25414224,shared_tap,3968,52
KiZu31296224,shared_tap,3968,52
AkRu05208224,shared_tap,3962,54
SoRu35132224,shared_tap,3960,55
HaRu19088224,shared_tap,3958,56
AkRu06749224,shared_tap,3958,56
AkRu08091224,shared_tap,3958,56
AkRu03258224,shared_tap,3956,59
AkRu07466224,shared_tap,3956,59
KiRu30056224,shared_tap,3956,59
KiRu30571224,shared_tap,3954,62
KiRu27212224,shared_tap,3954,62
SoRu35794224,shared_tap,3952,64
SoRu34996224,shared_tap,3952,64
AmRu15209224,shared_tap,3952,64
AmAs10579224,shared_tap,3952,64
AkRu03733224,shared_tap,3952,64
AmRu13488224,shared_tap,3952,64
AmAs10638224,shared_tap,3950,70
AmAs10546224,shared_tap,3950,70
SoRu34652224,shared_tap,3948,72
KiRu29396224,shared_tap,3948,72
KiRu27464224,shared_tap,3946,74
AkRu07459224,shared_tap,3946,74
AkRu04980224,shared_tap,3944,76
AmBe11046224,shared_tap,3944,76
KiRu26652224,shared_tap,3944,76
KiRu30486224,shared_tap,3944,76
KiRu29941224,shared_tap,3944,76
KiRu30138224,shared_tap,3938,81
KiRu30216224,shared_tap,3936,82
AkRu04734224,shared_tap,3936,82
SoRu38929224,shared_tap,3936,82
HaRu19750224,shared_tap,3934,85
AkRu06187224,shared_tap,3934,85
SoRu35648224,shared_tap,3930,87
SoRu37856224,shared_tap,3930,87
SoRu35557224,shared_tap,3930,87
KiZu31408224,shared_tap,3930,87
HaRu19726224,shared_tap,3928,91
SoMa34572224,shared_tap,3928,91
KiZu30804224,shared_tap,3928,91
AmPw12724224,shared_tap,3928,91
AkRu05044224,shared_tap,3924,95
KiRu25365224,shared_tap,3924,95
AkRu04841224,shared_tap,3922,97
AmAs10429224,shared_tap,3922,97
AkRu08029224,shared_tap,3920,99
HaRu18813224,shared_tap,3920,99
KiRu26909224,shared_tap,3920,99
SoRu37635224,shared_tap,3920,99
AkRu05639224,shared_tap,3918,103
KiRu28873224,shared_tap,3918,103
KiRu30095224,shared_tap,3918,103
KiMr24407224,shared_tap,3914,106
KiRu28733224,shared_tap,3914,106
AkRu06377224,shared_tap,3910,108
AmRu13648224,shared_tap,3910,108
AmAb09279224,shared_tap,3910,108
AmRu14929224,shared_tap,3908,111
SoRu37676224,shared_tap,3908,111
SoRu35342224,shared_tap,3906,113
SoRu35436224,shared_tap,3906,113
AkRu06470224,shared_tap,3906,113
AkHa00782224,shared_tap,3906,113
AkKi01104224,shared_tap,3906,113
AmDa12096224,shared_tap,3904,118
AkRu08578224,shared_tap,3904,118
AkRu03337224,shared_tap,3904,118
HaRu20538224,shared_tap,3904,118
KiAm22362224,shared_tap,3904,118
KiRu25568224,shared_tap,3902,123
SoRu35879224,shared_tap,3902,123
AmDa11579224,shared_tap,3902,123
AmAm09693224,shared_tap,3900,126
KiRu26200224,shared_tap,3900,126
HaRu19123224,shared_tap,3898,128
KiRu29674224,shared_tap,3898,128
HaRu17639224,shared_tap,3898,128
AkRu06612224,shared_tap,3898,128
HaRu17684224,shared_tap,3898,128
SoRu36095224,shared_tap,3896,133
KiRu27960224,shared_tap,3894,134
AkRu04412224,shared_tap,3892,135
SoRu37517224,shared_tap,3890,136
SoRu39603224,shared_tap,3890,136
SoRu38810224,shared_tap,3888,138
AmRu13571224,shared_tap,3888,138
KiRu25250224,shared_tap,3888,138
KiZu31163224,shared_tap,3886,141
SoCh32260224,shared_tap,3886,141
KiRu30546224,shared_tap,3886,141
SoRu38806224,shared_tap,3884,144
SoRu35524224,shared_tap,3884,144
AkRu06268224,shared_tap,3882,146
AmDa11767224,shared_tap,3882,146
KiMr24744224,shared_tap,3878,148
KiRu29195224,shared_tap,3876,149
AkRu07752224,shared_tap,3876,149
SoRu37818224,shared_tap,3876,149
HaRu19991224,shared_tap,3874,152
KiZu31039224,shared_tap,3874,152
HaAm16238224,shared_tap,3874,152
AkRu04597224,shared_tap,3874,152
AkHa00724224,shared_tap,3874,152
SoRu37559224,shared_tap,3872,157
AkLu02524224,shared_tap,3870,158
KiRu28772224,shared_tap,3870,158
KiRu29571224,shared_tap,3870,158
KiRu27294224,shared_tap,3868,161
AkRu05935224,shared_tap,3868,161
AkHa00259224,shared_tap,3866,163
AkRu06817224,shared_tap,3866,163
KiRu29542224,shared_tap,3866,163
KiRu26502224,shared_tap,3864,166
SoRu35560224,shared_tap,3864,166
KiRu26411224,shared_tap,3862,168
AmPw12493224,shared_tap,3862,168
HaZa21902224,shared_tap,3860,170
AkRu05288224,shared_tap,3858,171
AkLu02152224,shared_tap,3858,171
AmDa11781224,shared_tap,3858,171
AkRu06910224,shared_tap,3858,171
AmAs10069224,shared_tap,3858,171
AmRu15694224,shared_tap,3856,176
KiRu26035224,shared_tap,3856,176
SoRu37865224,shared_tap,3854,178
SoRu35166224,shared_tap,3854,178
AkRu07646224,shared_tap,3854,178
AkRu06867224,shared_tap,3850,181
AkRu06394224,shared_tap,3850,181
KiZu30834224,shared_tap,3850,181
KiHa22754224,shared_tap,3850,181
SoMa34220224,shared_tap,3848,185
KiRu30069224,shared_tap,3848,185
AkLu01927224,shared_tap,3848,185
AkRu06203224,shared_tap,3848,185
KiRu28956224,shared_tap,3846,189
KiIs24087224,shared_tap,3844,190
AkRu08306224,shared_tap,3844,190
KiRu27605224,shared_tap,3842,192
KiRu25908224,shared_tap,3842,192
KiRu28487224,shared_tap,3840,194
KiRu27309224,shared_tap,3840,194
AkHa00320224,shared_tap,3840,194
AkRu06315224,shared_tap,3838,197
AkRu07070224,shared_tap,3838,197
HaRu17304224,shared_tap,3838,197
SoKo33115224,shared_tap,3838,197
KiMr24818224,shared_tap,3838,197
HaRu20180224,shared_tap,3836,202
KiRu30644224,shared_tap,3836,202
KiRu27093224,shared_tap,3836,202
AkRu08446224,shared_tap,3836,202
AkRu05649224,shared_tap,3836,202
SoRu36812224,shared_tap,3836,202
SoRu38785224,shared_tap,3836,202
KiRu26574224,shared_tap,3832,209
SoMa34504224,shared_tap,3832,209
AmAm09966224,shared_tap,3832,209
AmDa11366224,shared_tap,3830,212
AkRu08193224,shared_tap,3830,212
AkRu06864224,shared_tap,3830,212
AkHa00668224,shared_tap,3830,212
KiRu29570224,shared_tap,3830,212
HaRu19290224,shared_tap,3828,217
KiRu28033224,shared_tap,3828,217
HaRu20114224,shared_tap,3828,217
AkRu04072224,shared_tap,3828,217
AmPw12321224,shared_tap,3826,221
SoRu37025224,shared_tap,3826,221
KiRu28436224,shared_tap,3826,221
KiRu28141224,shared_tap,3824,224
HaRu18894224,shared_tap,3822,225
SoRu37077224,shared_tap,3822,225
SoRu36048224,shared_tap,3820,227
KiRu25932224,shared_tap,3820,227
HaRu20001224,shared_tap,3820,227
AmRu13119224,shared_tap,3818,230
AkRu03468224,shared_tap,3818,230
AkRu08341224,shared_tap,3818,230
SoRu36739224,shared_tap,3818,230
SoRu35918224,shared_tap,3816,234
SoRu35819224,shared_tap,3816,234
SoRu36819224,shared_tap,3816,234
SoRu35241224,shared_tap,3816,234
HaRu19068224,shared_tap,3816,234
HaRu18231224,shared_tap,3816,234
HaRu18202224,shared_tap,3816,234
AmDa11453224,shared_tap,3816,234
AkKi00924224,shared_tap,3816,234
AkRu07606224,shared_tap,3814,243
AkRu06978224,shared_tap,3814,243
SoRu37915224,shared_tap,3814,243
SoRu36476224,shared_tap,3814,243
SoBa31516224,shared_tap,3814,243
KiRu30348224,shared_tap,3812,248
SoKo33457224,shared_tap,3812,248
AmPw12295224,shared_tap,3812,248
AkRu07723224,shared_tap,3812,248
HaRu18272224,shared_tap,3810,252
AmRu15816224,shared_tap,3810,252
KiZu30904224,shared_tap,3810,252
AkRu08623224,shared_tap,3808,255
AkRu05702224,shared_tap,3808,255
AmPw12515224,shared_tap,3806,257
HaYa21583224,shared_tap,3806,257
AkRu03166224,shared_tap,3804,259
AkRu05730224,shared_tap,3804,259
AkRu04163224,shared_tap,3802,261
KiRu28523224,shared_tap,3802,261
KiAm22391224,shared_tap,3802,261
KiZu30742224,shared_tap,3802,261
KiIs24214224,shared_tap,3800,265
SoRu36330224,shared_tap,3800,265
SoRu37089224,shared_tap,3798,267
KiRu30098224,shared_tap,3798,267
KiRu26581224,shared_tap,3798,267
AkLu02156224,shared_tap,3796,270
HaRu17495224,shared_tap,3796,270
AmAs10400224,shared_tap,3794,272
AmAm09382224,shared_tap,3794,272
AkRu08935224,shared_tap,3794,272
HaRu19129224,shared_tap,3794,272
KiRu26709224,shared_tap,3794,272
AkRu08513224,shared_tap,3792,277
SoRu38398224,shared_tap,3792,277
KiRu26060224,shared_tap,3790,279
HaRu19499224,shared_tap,3790,279
HaRu17687224,shared_tap,3790,279
AkRu06930224,shared_tap,3790,279
AkRu07801224,shared_tap,3790,279
AkRu08005224,shared_tap,3788,284
HaSe21007224,shared_tap,3788,284
HaRu19331224,shared_tap,3786,286
KiRu26446224,shared_tap,3786,286
SoRu36096224,shared_tap,3786,286
HaRu19446224,shared_tap,3784,289
SoRu37771224,shared_tap,3782,290
SoRu35426224,shared_tap,3782,290
AkRu07373224,shared_tap,3782,290
AkRu06823224,shared_tap,3780,293
AkRu04638224,shared_tap,3780,293
HaRu18702224,shared_tap,3780,293
KiZu31366224,shared_tap,3778,296
AmRu14625224,shared_tap,3778,296
AkRu04494224,shared_tap,3776,298
AmPw12384224,shared_tap,3774,299
AkRu05088224,shared_tap,3774,299
AmAs10528224,shared_tap,3774,299
HaRu17991224,shared_tap,3772,302
AkRu04794224,shared_tap,3772,302
AkRu08450224,shared_tap,3772,302
KiRu30053224,shared_tap,3772,302
SoRu38497224,shared_tap,3772,302
SoRu36726224,shared_tap,3770,307
AmRu15247224,shared_tap,3768,308
KiZu31214224,shared_tap,3768,308
KiRu29770224,shared_tap,3766,310
KiZu31340224,shared_tap,3766,310
AkRu04046224,shared_tap,3766,310
AkRu07457224,shared_tap,3764,313
AkRu03237224,shared_tap,3764,313
AkRu06311224,shared_tap,3764,313
KiZu30808224,shared_tap,3764,313
KiRu26540224,shared_tap,3762,317
AkRu07069224,shared_tap,3762,317
AmRu13810224,shared_tap,3762,317
AkRu08791224,shared_tap,3760,320
AmDa11536224,shared_tap,3758,321
AkRu03816224,shared_tap,3758,321
SoRu36716224,shared_tap,3758,321
SoRu38595224,shared_tap,3758,321
SoRu38381224,shared_tap,3756,325
SoRu35034224,shared_tap,3756,325
AkLu02136224,shared_tap,3756,325
AkRu07499224,shared_tap,3756,325
AmPw12383224,shared_tap,3754,329
HaRu20660224,shared_tap,3754,329
SoRu37838224,shared_tap,3752,331
AkRu04180224,shared_tap,3752,331
AmAb09236224,shared_tap,3750,333
HaRu19574224,shared_tap,3750,333
SoRu37371224,shared_tap,3750,333
HaRu19278224,shared_tap,3748,336
AmRu14765224,shared_tap,3746,337
SoRu35008224,shared_tap,3746,337
KiRu28962224,shared_tap,3744,339
KiZu30729224,shared_tap,3744,339
AkRu08429224,shared_tap,3744,339
AkRu04935224,shared_tap,3744,339
AkRu08265224,shared_tap,3742,343
KiZu31006224,shared_tap,3742,343
KiZu31117224,shared_tap,3742,343
SoRu34682224,shared_tap,3740,346
KiRu26936224,shared_tap,3738,347
AmAb09177224,shared_tap,3738,347
AkRu08590224,shared_tap,3736,349
AmAs10190224,shared_tap,3736,349
KiZu30790224,shared_tap,3736,349
KiZu30956224,shared_tap,3736,349
KiRu30078224,shared_tap,3734,353
KiRu26095224,shared_tap,3734,353
SoRu38592224,shared_tap,3734,353
AkRu07426224,shared_tap,3734,353
AkRu05296224,shared_tap,3732,357
KiRu25582224,shared_tap,3732,357
HaRu20785224,shared_tap,3730,359
KiRu29352224,shared_tap,3728,360
AkRu04840224,shared_tap,3726,361
AmAb09120224,shared_tap,3726,361
AkRu04034224,shared_tap,3726,361
AkRu03742224,shared_tap,3726,361
AkRu07557224,shared_tap,3726,361
AkRu06526224,shared_tap,3726,361
AkRu08253224,shared_tap,3724,367
AkRu08172224,shared_tap,3722,368
SoRu37953224,shared_tap,3722,368
